area_terreno,area_construida,area_ocupada,ano_construcao,quantidade_pavimentos,valor_venal,valor_m2_construcao,bairro,valor_iptu_ano,area_privativa,vagas,quartos,banheiros,valor_condominio,valor_aluguel,preco,academia,cafe,farmacia,padaria,restaurantes,shopping,supermercado,area_comercial,area_industrial_logistico,area_outros,area_residencial,area_servico,caminhabilidade,metro_distancia,metro_linha,metro_estacao
660,194,340,1968,13,686162,2139,BAIRRO007,3735.64,167,1,3,3,1683,4780,1111276,9.0,4.0,0.0,3.0,12.0,1.0,1.0,3.64,0.0,10.9,81.65,3.81,Região com ruas íngremes,1386.0,LINHA001,ESTACAO001
574,303,250,1972,13,1328140,2497,BAIRRO007,8774.6,240,2,3,3,3100,8143,2460068,7.0,4.0,0.0,3.0,11.0,1.0,1.0,3.64,0.0,10.9,81.65,3.81,Região com ruas íngremes,1373.0,LINHA001,ESTACAO001
1400,507,420,1963,17,1835230,2497,BAIRRO007,13461.6,426,3,4,1,5023,7743,5574444,7.0,4.0,0.0,3.0,12.0,1.0,1.0,3.64,0.0,10.9,81.65,3.81,Região com ruas íngremes,1391.0,LINHA001,ESTACAO001
728,446,380,1968,14,1860700,3092,BAIRRO007,13680.2,280,3,4,5,4170,8319,3306250,7.0,5.0,0.0,4.0,11.0,1.0,1.0,3.92,0.0,1.81,89.59,4.68,Região com ruas íngremes,1377.0,LINHA001,ESTACAO001
416,209,180,1970,12,1046850,2497,BAIRRO007,6313.42,150,1,3,2,1712,5897,1121213,7.0,5.0,0.0,4.0,13.0,1.0,0.0,3.92,0.0,1.81,89.59,4.68,Região com ruas íngremes,1382.0,LINHA001,ESTACAO001
828,216,320,1946,5,1537980,2139,BAIRRO007,8063.44,156,1,3,3,1534,5887,1326640,6.0,4.0,0.0,2.0,12.0,0.0,0.0,3.64,0.0,10.9,81.65,3.81,Região com ruas íngremes,1426.0,LINHA001,ESTACAO001
1167,388,400,1970,16,1884740,2497,BAIRRO007,12986.5,311,2,3,3,4457,10902,4159804,6.0,4.0,0.0,3.0,13.0,0.0,0.0,3.92,0.0,1.81,89.59,4.68,Região com ruas íngremes,1404.0,LINHA001,ESTACAO001
690,158,320,1970,5,1251920,2139,BAIRRO007,7609.35,130,2,2,2,2237,7343,1237774,2.0,3.0,0.0,2.0,11.0,0.0,0.0,2.2,0.0,9.56,71.68,16.55,Região com ruas íngremes,1447.0,LINHA001,ESTACAO001
632,100,300,1970,13,451749,2139,BAIRRO007,2193.72,90,1,2,2,1337,3260,730536,2.0,3.0,0.0,2.0,12.0,0.0,0.0,3.92,0.0,1.81,89.59,4.68,Região com ruas íngremes,1417.0,LINHA001,ESTACAO001
632,193,300,1970,13,873156,2139,BAIRRO007,4891.5,150,1,3,2,2228,5433,1242922,2.0,3.0,0.0,2.0,12.0,0.0,0.0,3.92,0.0,1.81,89.59,4.68,Região com ruas íngremes,1417.0,LINHA001,ESTACAO001
